fight_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url_x,event_name,event_date,event_city,event_state,event_country,event_url,fight_stat_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url_y,fighter_f_name_fighter2,fighter_l_name_fighter2,fighter_nickname_fighter2,fighter_height_cm_fighter2,fighter_weight_lbs_fighter2,fighter_reach_cm_fighter2,fighter_stance_fighter2,fighter_dob_fighter2,fighter_w_fighter2,fighter_l_fighter2,fighter_d_fighter2,fighter_nc_dq_fighter2,fighter_url_fighter2,fighter_id,fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_nickname_fighter1,fighter_height_cm_fighter1,fighter_weight_lbs_fighter1,fighter_reach_cm_fighter1,fighter_stance_fighter1,fighter_dob_fighter1,fighter_w_fighter1,fighter_l_fighter1,fighter_d_fighter1,fighter_nc_dq_fighter1,fighter_url_fighter1
7218,Herb Dean,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,"to    
      Leg Injury",2,2:03,http://ufcstats.com/fight-details/23a604f460289271,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c945adc22c2bfe8f,14436,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00,http://ufcstats.com/fight-details/23a604f460289271,Rafael,Fiziev,Ataman,172.72,155.0,180.34,Switch,1993-03-05,12,3,0,,http://ufcstats.com/fighter-details/c814b4c899793af6,2884,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece
6563,Jason Herzog,350.0,2884.0,2884.0,5,F,Lightweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/1f5f59924b59408b,UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/eb42d4febfafefd1,13126,1.0,264.0,110.0,247.0,95.0,8.0,1.0,0.0,0.0,1:39,http://ufcstats.com/fight-details/1f5f59924b59408b,Arman,Tsarukyan,Ahalkalakets,170.18,155.0,182.88,Orthodox,1996-10-11,20,3,0,,http://ufcstats.com/fighter-details/eae48ff31db420c2,2884,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece
6303,Jason Herzog,3007.0,2884.0,2884.0,3,F,Lightweight,M,KO/TKO,Knee to Body On Ground,2,3:26,http://ufcstats.com/fight-details/730f14ccff80f3b0,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/2a470ad41c22c25a,12606,0.0,104.0,37.0,101.0,36.0,0.0,0.0,0.0,0.0,0:00,http://ufcstats.com/fight-details/730f14ccff80f3b0,Diego,Ferreira,,175.26,155.0,187.96,Orthodox,1985-01-18,18,5,0,,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,2884,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece
6725,Daniel Movahedi,3296.0,2884.0,3296.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/69f39e5d959311b1,UFC 280: Oliveira vs. Makhachev,2022-10-22,Abu Dhabi,Abu Dhabi,United Arab Emirates,http://ufcstats.com/event-details/885e7f70dcac0007,13450,1.0,138.0,67.0,130.0,59.0,0.0,0.0,0.0,0.0,0:34,http://ufcstats.com/fight-details/69f39e5d959311b1,Beneil,Dariush,,177.8,155.0,182.88,Southpaw,1989-05-06,22,5,1,,http://ufcstats.com/fighter-details/08af939f41b5a57b,2884,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece
6080,Mike Beltran,542.0,2884.0,2884.0,3,F,Lightweight,M,Submission,Kimura From Side Control,1,1:05,http://ufcstats.com/fight-details/72105dd82d964e7a,UFC Fight Night: Makhachev vs. Moises,2021-07-17,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/40389d39a92f5bfa,12160,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0:03,http://ufcstats.com/fight-details/72105dd82d964e7a,Jeremy,Stephens,Lil' Heathen,175.26,145.0,180.34,Orthodox,1986-05-25,28,19,0,1.0,http://ufcstats.com/fighter-details/18968f97ad34f15c,2884,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece
5940,Jason Herzog,2522.0,2884.0,2884.0,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,2,1:22,http://ufcstats.com/fight-details/998296216e7171ed,UFC Fight Night: Vettori vs. Holland,2021-04-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/9114c8ded5ccd71d,11880,0.0,48.0,10.0,48.0,10.0,1.0,0.0,0.0,0.0,0:00,http://ufcstats.com/fight-details/998296216e7171ed,Scott,Holtzman,Hot Sauce,175.26,155.0,175.26,Orthodox,1983-09-30,14,6,0,,http://ufcstats.com/fighter-details/df1eb4354d18a906,2884,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,http://ufcstats.com/fighter-details/72db2a14ffa73ece
6412,Marc Goddard,2583.0,380.0,380.0,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,1:07,http://ufcstats.com/fight-details/a200b5dcbdd2506e,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,London,England,United Kingdom,http://ufcstats.com/event-details/1d00756835ca67c9,12824,1.0,94.0,50.0,63.0,22.0,0.0,0.0,0.0,0.0,0:07,http://ufcstats.com/fight-details/a200b5dcbdd2506e,Jai,Herbert,Black Country Banger,185.42,155.0,195.58,Orthodox,1988-05-13,12,5,1,,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4,380,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,http://ufcstats.com/fighter-details/54f64b5e283b0ce7
6308,Mark Smith,3652.0,949.0,3652.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/3a8c0158d910546d,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/f5585e675af7afd4,12616,0.0,141.0,88.0,99.0,58.0,8.0,6.0,3.0,2.0,7:39,http://ufcstats.com/fight-details/3a8c0158d910546d,TJ,Brown,Downtown,175.26,145.0,182.88,Switch,1990-05-22,17,10,0,,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,949,Charles,Rosa,Boston Strong,175.26,145.0,175.26,Switch,1986-08-24,14,8,0,,http://ufcstats.com/fighter-details/40093d1d2d78394e
6295,Chris Tognoni,2085.0,799.0,2085.0,3,F,Lightweight,M,Submission,Inverted Triangle On Ground,2,2:05,http://ufcstats.com/fight-details/ea76a3af8c5ecc55,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/2a470ad41c22c25a,12590,0.0,37.0,22.0,20.0,9.0,6.0,1.0,3.0,0.0,2:48,http://ufcstats.com/fight-details/ea76a3af8c5ecc55,Jordan,Leavitt,The Monkey King,175.26,155.0,180.34,Southpaw,1995-06-02,11,2,0,,http://ufcstats.com/fighter-details/ac026518a9b4dc0f,799,Matt,Sayles,,170.18,155.0,172.72,Orthodox,1994-02-21,8,4,0,,http://ufcstats.com/fighter-details/5b8ba8f5512893b1
5051,Dan Miragliotta,2727.0,2320.0,2727.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/031647c36d12788f,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18,Rochester,New York,USA,http://ufcstats.com/event-details/6b8f28da9a483049,10102,0.0,152.0,85.0,144.0,78.0,4.0,4.0,0.0,0.0,2:01,http://ufcstats.com/fight-details/031647c36d12788f,Desmond,Green,The Predator,177.8,155.0,185.42,Southpaw,1989-10-11,23,8,0,,http://ufcstats.com/fighter-details/f046d724d2a84ac5,2320,Charles,Jourdain,Air,175.26,145.0,175.26,Switch,1995-11-27,15,6,1,,http://ufcstats.com/fighter-details/f1d64ae34e088832
2234,Mike Beltran,1752.0,1819.0,1819.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/786033c27fdaa020,UFC on FOX: Henderson vs Melendez,2013-04-20,San Jose,California,USA,http://ufcstats.com/event-details/aa79d5399571068e,4468,0.0,161.0,68.0,133.0,43.0,1.0,0.0,0.0,1.0,0:18,http://ufcstats.com/fight-details/786033c27fdaa020,Tim,Means,The Dirty Bird,187.96,170.0,190.5,Orthodox,1984-02-20,33,15,1,1.0,http://ufcstats.com/fighter-details/4b47e71384a9522f,1819,Jorge,Masvidal,Gamebred,180.34,170.0,187.96,Orthodox,1984-11-12,35,17,0,,http://ufcstats.com/fighter-details/47b9e0e7703a4868
