referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Herb Dean,5,F,M,KO/TKO,"to    
      Leg Injury",2,2:03,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,Las Vegas,Nevada,USA,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00
Jason Herzog,5,F,M,Decision,Unanimous,5,5:00,UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25,Las Vegas,Nevada,USA,1.0,264.0,110.0,247.0,95.0,8.0,1.0,0.0,0.0,1:39
Jason Herzog,3,F,M,KO/TKO,Knee to Body On Ground,2,3:26,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,Las Vegas,Nevada,USA,0.0,104.0,37.0,101.0,36.0,0.0,0.0,0.0,0.0,0:00
Daniel Movahedi,3,F,M,Decision,Unanimous,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,Abu Dhabi,Abu Dhabi,United Arab Emirates,1.0,138.0,67.0,130.0,59.0,0.0,0.0,0.0,0.0,0:34
Mike Beltran,3,F,M,Submission,Kimura From Side Control,1,1:05,UFC Fight Night: Makhachev vs. Moises,2021-07-17,Las Vegas,Nevada,USA,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0:03
Jason Herzog,3,F,M,KO/TKO,Punches to Head On Ground,2,1:22,UFC Fight Night: Vettori vs. Holland,2021-04-10,Las Vegas,Nevada,USA,0.0,48.0,10.0,48.0,10.0,1.0,0.0,0.0,0.0,0:00
Marc Goddard,3,F,M,KO/TKO,Punch to Head At Distance,2,1:07,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,London,England,United Kingdom,1.0,94.0,50.0,63.0,22.0,0.0,0.0,0.0,0.0,0:07
Mark Smith,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,Las Vegas,Nevada,USA,0.0,141.0,88.0,99.0,58.0,8.0,6.0,3.0,2.0,7:39
Chris Tognoni,3,F,M,Submission,Inverted Triangle On Ground,2,2:05,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,Las Vegas,Nevada,USA,0.0,37.0,22.0,20.0,9.0,6.0,1.0,3.0,0.0,2:48
Dan Miragliotta,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18,Rochester,New York,USA,0.0,152.0,85.0,144.0,78.0,4.0,4.0,0.0,0.0,2:01
Mike Beltran,3,F,M,Decision,Unanimous,3,5:00,UFC on FOX: Henderson vs Melendez,2013-04-20,San Jose,California,USA,0.0,161.0,68.0,133.0,43.0,1.0,0.0,0.0,1.0,0:18
Dan Miragliotta,3,F,M,Submission,D'Arce Choke On Ground,2,4:59,UFC on FOX: Johnson vs Moraga,2013-07-27,Seattle,Washington,USA,1.0,66.0,35.0,53.0,24.0,5.0,2.0,0.0,0.0,2:42
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC on FOX: Lawler vs Brown,2014-07-26,San Jose,California,USA,1.0,87.0,23.0,83.0,19.0,3.0,2.0,1.0,0.0,0:24
Chris Adams,3,F,M,KO/TKO,Punches to Head On Ground,1,1:06,UFC on FX: Johnson vs McCall,2012-06-08,Sunrise,Florida,USA,2.0,46.0,30.0,42.0,26.0,0.0,0.0,0.0,0.0,0:19
Yves Lavigne,3,F,M,KO/TKO,Punches to Head From Back Control,1,4:31,UFC 196: McGregor vs Diaz,2016-03-05,Las Vegas,Nevada,USA,0.0,56.0,31.0,35.0,20.0,0.0,0.0,0.0,1.0,2:21
Dan Miragliotta,3,F,M,Submission,Rear Naked Choke,1,2:38,UFC Fight Night: Belfort vs Henderson 2,2013-11-09,Goiania,Goias,Brazil,0.0,24.0,20.0,11.0,7.0,1.0,1.0,1.0,0.0,1:18
