fight_id,f_1,fighter_f_name_x,fighter_nickname_x,fighter_l_name_x,f_2,fighter_f_name_y,fighter_nickname_y,fighter_l_name_y,winner,num_rounds,result,result_details,finish_round,finish_time,fighter_height_cm_x,fighter_weight_lbs_x,fighter_reach_cm_x,fighter_stance_x,fighter_dob_x,fighter_w_x,fighter_l_x,fighter_d_x,fighter_nc_dq_x,fight_stat_id_x,fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y
7218,2976.0,Rafael,Ataman,Fiziev,2884.0,Mateusz,Gamer,Gamrot,2884.0,5,KO/TKO,"to    
      Leg Injury",2,2:03,172.72,155.0,180.34,Switch,1993-03-05,12,3,0,,14436,2976.0,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,14435,2884.0,0.0,42.0,17.0,40.0,16.0,6.0,1.0,0.0,0.0,1:28
6563,350.0,Arman,Ahalkalakets,Tsarukyan,2884.0,Mateusz,Gamer,Gamrot,2884.0,5,Decision,Unanimous,5,5:00,170.18,155.0,182.88,Orthodox,1996-10-11,20,3,0,,13126,350.0,1.0,264.0,110.0,247.0,95.0,8.0,1.0,0.0,0.0,1:39,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,13125,2884.0,0.0,166.0,108.0,138.0,81.0,21.0,6.0,0.0,0.0,4:58
6303,3007.0,Diego,,Ferreira,2884.0,Mateusz,Gamer,Gamrot,2884.0,3,KO/TKO,Knee to Body On Ground,2,3:26,175.26,155.0,187.96,Orthodox,1985-01-18,18,5,0,,12606,3007.0,0.0,104.0,37.0,101.0,36.0,0.0,0.0,0.0,0.0,0:00,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,12605,2884.0,0.0,67.0,31.0,58.0,25.0,7.0,4.0,0.0,0.0,1:05
6725,3296.0,Beneil,,Dariush,2884.0,Mateusz,Gamer,Gamrot,3296.0,3,Decision,Unanimous,3,5:00,177.8,155.0,182.88,Southpaw,1989-05-06,22,5,1,,13450,3296.0,1.0,138.0,67.0,130.0,59.0,0.0,0.0,0.0,0.0,0:34,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,13449,2884.0,0.0,86.0,38.0,81.0,33.0,19.0,4.0,0.0,0.0,2:07
6080,542.0,Jeremy,Lil' Heathen,Stephens,2884.0,Mateusz,Gamer,Gamrot,2884.0,3,Submission,Kimura From Side Control,1,1:05,175.26,145.0,180.34,Orthodox,1986-05-25,28,19,0,1.0,12160,542.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0:03,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,12159,2884.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0:46
5940,2522.0,Scott,Hot Sauce,Holtzman,2884.0,Mateusz,Gamer,Gamrot,2884.0,3,KO/TKO,Punches to Head On Ground,2,1:22,175.26,155.0,175.26,Orthodox,1983-09-30,14,6,0,,11880,2522.0,0.0,48.0,10.0,48.0,10.0,1.0,0.0,0.0,0.0,0:00,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,11879,2884.0,1.0,65.0,41.0,63.0,39.0,5.0,2.0,0.0,0.0,0:50
7217,1662.0,Bryce,Thug Nasty,Mitchell,2464.0,Dan,50K,Ige,1662.0,3,Decision,Unanimous,3,5:00,177.8,145.0,177.8,Southpaw,1994-10-04,16,2,0,,14434,1662.0,0.0,59.0,37.0,40.0,23.0,15.0,5.0,1.0,0.0,7:33,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,14433,2464.0,0.0,72.0,32.0,55.0,18.0,0.0,0.0,0.0,1.0,2:11
6289,3087.0,Josh,CC0,Emmett,2464.0,Dan,50K,Ige,3087.0,3,Decision,Unanimous,3,5:00,167.64,145.0,177.8,Orthodox,1985-03-04,18,4,0,,12578,3087.0,1.0,167.0,62.0,165.0,60.0,0.0,0.0,0.0,1.0,0:47,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,12577,2464.0,0.0,171.0,73.0,168.0,70.0,4.0,1.0,0.0,0.0,0:21
5568,2272.0,Calvin,,Kattar,2464.0,Dan,50K,Ige,2272.0,5,Decision,Unanimous,5,5:00,180.34,145.0,182.88,Orthodox,1988-03-26,23,7,0,,11136,2272.0,0.0,262.0,107.0,260.0,105.0,1.0,1.0,0.0,0.0,1:06,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,11135,2464.0,0.0,221.0,87.0,218.0,84.0,9.0,0.0,0.0,0.0,0:03
6049,2309.0,Chan,The Korean Zombie,Sung Jung,2464.0,Dan,50K,Ige,2309.0,5,Decision,Unanimous,5,5:00,170.18,145.0,182.88,Orthodox,1987-03-17,17,8,0,,12098,2309.0,0.0,248.0,154.0,166.0,92.0,5.0,3.0,3.0,0.0,10:10,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,12097,2464.0,0.0,237.0,137.0,168.0,80.0,4.0,0.0,0.0,0.0,1:53
