fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y,winner
2976.0,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,14435,2884.0,0.0,42.0,17.0,40.0,16.0,6.0,1.0,0.0,0.0,1:28,2884.0
350.0,1.0,264.0,110.0,247.0,95.0,8.0,1.0,0.0,0.0,1:39,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,13125,2884.0,0.0,166.0,108.0,138.0,81.0,21.0,6.0,0.0,0.0,4:58,2884.0
3007.0,0.0,104.0,37.0,101.0,36.0,0.0,0.0,0.0,0.0,0:00,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,12605,2884.0,0.0,67.0,31.0,58.0,25.0,7.0,4.0,0.0,0.0,1:05,2884.0
3296.0,1.0,138.0,67.0,130.0,59.0,0.0,0.0,0.0,0.0,0:34,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,13449,2884.0,0.0,86.0,38.0,81.0,33.0,19.0,4.0,0.0,0.0,2:07,3296.0
542.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0:03,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,12159,2884.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0:46,2884.0
2522.0,0.0,48.0,10.0,48.0,10.0,1.0,0.0,0.0,0.0,0:00,Mateusz,Gamrot,Gamer,177.8,155.0,177.8,Southpaw,1990-12-11,23,2,0,1.0,11879,2884.0,1.0,65.0,41.0,63.0,39.0,5.0,2.0,0.0,0.0,0:50,2884.0
1662.0,0.0,59.0,37.0,40.0,23.0,15.0,5.0,1.0,0.0,7:33,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,14433,2464.0,0.0,72.0,32.0,55.0,18.0,0.0,0.0,0.0,1.0,2:11,1662.0
3087.0,1.0,167.0,62.0,165.0,60.0,0.0,0.0,0.0,1.0,0:47,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,12577,2464.0,0.0,171.0,73.0,168.0,70.0,4.0,1.0,0.0,0.0,0:21,3087.0
2272.0,0.0,262.0,107.0,260.0,105.0,1.0,1.0,0.0,0.0,1:06,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,11135,2464.0,0.0,221.0,87.0,218.0,84.0,9.0,0.0,0.0,0.0,0:03,2272.0
2309.0,0.0,248.0,154.0,166.0,92.0,5.0,3.0,3.0,0.0,10:10,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,12097,2464.0,0.0,237.0,137.0,168.0,80.0,4.0,0.0,0.0,0.0,1:53,2309.0
3816.0,0.0,74.0,29.0,60.0,17.0,10.0,3.0,1.0,0.0,6:33,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,10793,2464.0,0.0,117.0,64.0,88.0,43.0,2.0,1.0,0.0,0.0,0:54,2464.0
2586.0,0.0,7.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0:00,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,9899,2464.0,1.0,17.0,10.0,17.0,10.0,1.0,1.0,1.0,0.0,0:31,2464.0
843.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0:00,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,9155,2464.0,0.0,32.0,29.0,27.0,25.0,1.0,1.0,0.0,0.0,0:32,2464.0
1662.0,0.0,94.0,46.0,82.0,36.0,9.0,1.0,0.0,0.0,1:29,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,13593,380.0,1.0,93.0,53.0,77.0,40.0,0.0,0.0,1.0,0.0,1:18,380.0
2583.0,1.0,94.0,50.0,63.0,22.0,0.0,0.0,0.0,0.0,0:07,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,12823,380.0,1.0,55.0,31.0,41.0,20.0,4.0,1.0,0.0,0.0,2:41,380.0
3087.0,0.0,309.0,89.0,305.0,87.0,0.0,0.0,0.0,0.0,0:00,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,14121,380.0,1.0,365.0,171.0,344.0,152.0,3.0,3.0,0.0,0.0,3:35,380.0
2670.0,0.0,21.0,13.0,17.0,10.0,3.0,0.0,0.0,0.0,0:00,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,12131,380.0,0.0,32.0,18.0,32.0,18.0,0.0,0.0,0.0,0.0,1:20,380.0
31.0,0.0,85.0,40.0,53.0,17.0,2.0,0.0,1.0,3.0,2:51,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,11403,380.0,0.0,62.0,30.0,33.0,13.0,9.0,5.0,5.0,0.0,8:02,380.0
1662.0,0.0,135.0,100.0,69.0,46.0,13.0,7.0,1.0,0.0,10:12,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,11477,2991.0,0.0,97.0,51.0,72.0,27.0,0.0,0.0,0.0,2.0,0:34,1662.0
2532.0,0.0,161.0,57.0,149.0,47.0,0.0,0.0,2.0,0.0,0:00,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,5297,2991.0,0.0,141.0,46.0,139.0,44.0,12.0,3.0,0.0,0.0,3:12,2532.0
102.0,1.0,174.0,108.0,148.0,84.0,2.0,1.0,0.0,0.0,1:47,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,14223,2991.0,1.0,179.0,76.0,151.0,58.0,2.0,0.0,0.0,1.0,2:55,102.0
983.0,1.0,68.0,39.0,53.0,25.0,2.0,2.0,0.0,0.0,3:54,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,7185,2991.0,0.0,40.0,20.0,31.0,11.0,2.0,1.0,0.0,0.0,0:07,983.0
2364.0,0.0,122.0,70.0,116.0,65.0,3.0,0.0,0.0,1.0,1:30,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,9375,2991.0,0.0,120.0,40.0,117.0,37.0,4.0,2.0,1.0,0.0,3:21,2364.0
3803.0,0.0,26.0,11.0,26.0,11.0,0.0,0.0,0.0,0.0,0:00,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,6793,2991.0,1.0,42.0,16.0,42.0,16.0,1.0,1.0,0.0,0.0,0:07,2991.0
3790.0,0.0,227.0,133.0,196.0,103.0,11.0,1.0,0.0,0.0,3:11,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,8847,2991.0,0.0,242.0,93.0,229.0,80.0,12.0,4.0,0.0,0.0,0:50,2991.0
