fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
7218,664,Herb Dean,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,"to    
      Leg Injury",2,2:03,http://ufcstats.com/fight-details/23a604f460289271
7217,664,Mark Smith,1662.0,2464.0,1662.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/da1b37edb8ccd3e6
7216,664,Kerry Hatley,981.0,179.0,981.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,2,2:42,http://ufcstats.com/fight-details/d8335b728604b222
7215,664,Dan Miragliotta,3831.0,2974.0,3831.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,4:32,http://ufcstats.com/fight-details/bf647be41de365e4
7214,664,Herb Dean,1108.0,2320.0,2320.0,3,F,Featherweight,M,Submission,Guillotine Choke From Bottom Guard,1,3:12,http://ufcstats.com/fight-details/6e1bf1b163b3aeab
7213,664,Kerry Hatley,3945.0,2373.0,2373.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b78545b32a97ac44
7212,664,Dan Miragliotta,1752.0,3002.0,1752.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,3,1:15,http://ufcstats.com/fight-details/b3c7a5a97978d156
7211,664,Mark Smith,1885.0,3646.0,3646.0,3,F,Middleweight,M,DQ,Strike to back of head,1,4:15,http://ufcstats.com/fight-details/1496969c1497dc85
7210,664,Dan Miragliotta,309.0,3421.0,309.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/49ede01b061cfae3
7209,664,Mark Smith,,2808.0,,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/adb411b0f418ce33
7208,664,Kerry Hatley,249.0,1071.0,1071.0,3,F,Women's Bantamweight,F,Decision,Split,3,5:00,http://ufcstats.com/fight-details/0732e6b6eb0a607d
7207,663,Jason Herzog,2534.0,3250.0,3250.0,3,F,Welterweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/697efaf0d162e877
7206,663,Mark Smith,946.0,1660.0,946.0,3,F,Bantamweight,M,KO/TKO,Punches to Head From Back Control,1,0:54,http://ufcstats.com/fight-details/c0ca4c201d086ea8
7205,663,Jason Herzog,23.0,2846.0,23.0,3,F,Lightweight,M,Submission,Anaconda Choke On Ground,2,3:26,http://ufcstats.com/fight-details/2e1435c160bfe8b2
7204,663,Chris Tognoni,1348.0,1495.0,1495.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/a5d76e93a5052e3f
7203,663,Herb Dean,2814.0,1085.0,2814.0,3,F,Women's Strawweight,F,Submission,Rear Naked Choke,2,3:38,http://ufcstats.com/fight-details/79f03eca3fe5cdb3
7202,663,Mark Smith,2181.0,2929.0,2181.0,3,F,Middleweight,M,KO/TKO,Punch to Body At Distance,2,4:44,http://ufcstats.com/fight-details/7a0813ec0fadc84e
7201,663,Jason Herzog,3389.0,2400.0,3389.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/bcec26b425194e40
7200,663,Mark Smith,1064.0,3574.0,3574.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,3:38,http://ufcstats.com/fight-details/58b2fdad7af9be02
7199,663,Chris Tognoni,2196.0,1874.0,2196.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/11318a7807cee8ca
7198,662,Marc Goddard,4089.0,512.0,512.0,5,T,Middleweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/7f16e7725245bb2d
7197,662,Herb Dean,342.0,225.0,225.0,3,F,Heavyweight,M,Submission,Ezekiel Choke From Mount,2,4:37,http://ufcstats.com/fight-details/e4ed294e16e16d81
7196,662,Greg Kleynjans,2285.0,3179.0,2285.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/222bb2c67a87d312
