fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
4107,Tom,Aaron,,,155.0,,,1978-07-13,5,3,0,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
4106,Danny,Abbadi,The Assassin,180.34,155.0,,Orthodox,1983-07-03,4,6,0,,http://ufcstats.com/fighter-details/15df64c02b6b0fde
4105,Nariman,Abbasov,Bayraktar,172.72,155.0,167.64,Orthodox,1994-02-01,28,4,0,,http://ufcstats.com/fighter-details/59a9d6dac61c2540
4104,David,Abbott,Tank,182.88,265.0,,Switch,,10,15,0,,http://ufcstats.com/fighter-details/b361180739bed4b0
4103,Hamdy,Abdelwahab,The Hammer,187.96,264.0,182.88,Southpaw,1993-01-22,5,0,0,1.0,http://ufcstats.com/fighter-details/3329d692aea4dc28
4102,Shamil,Abdurakhimov,Abrek,190.5,235.0,193.04,Orthodox,1981-09-02,20,8,0,,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
4101,Hiroyuki,Abe,Abe Ani,167.64,145.0,,Orthodox,,8,15,3,1.0,http://ufcstats.com/fighter-details/c0ed7b208197e8de
4100,Daichi,Abe,,180.34,170.0,180.34,Orthodox,1991-11-27,6,2,0,,http://ufcstats.com/fighter-details/5140122c3eecd307
4099,Papy,Abedi,Makambo,180.34,185.0,,Southpaw,1978-06-30,10,4,0,,http://ufcstats.com/fighter-details/c9f6385af6df66d7
4098,Ricardo,Abreu,Demente,180.34,185.0,,Orthodox,1984-04-27,5,1,0,,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
4097,Klidson,Abreu,White Bear,182.88,205.0,187.96,Orthodox,1992-12-24,15,4,0,1.0,http://ufcstats.com/fighter-details/7279654c7674cd24
4096,Cyborg,Abreu,,,,,,1980-12-20,0,0,0,,http://ufcstats.com/fighter-details/f689bd7bbd14b392
4095,Daniel,Acacio,,172.72,180.0,,Orthodox,1977-12-27,30,18,0,,http://ufcstats.com/fighter-details/1c5879330d42255f
4094,John,Adajar,The Outlaw,175.26,170.0,190.5,Orthodox,1991-06-22,6,2,0,,http://ufcstats.com/fighter-details/989b85f6540c86b1
4093,Scott,Adams,,182.88,225.0,,Southpaw,,8,1,0,,http://ufcstats.com/fighter-details/2620f3eb21c79614
4092,Juan,Adams,The Kraken,195.58,265.0,203.2,Orthodox,1992-01-16,5,3,0,,http://ufcstats.com/fighter-details/83b00f7597e5ac83
4091,Anthony,Adams,Sugafoot,185.42,185.0,193.04,Orthodox,1988-01-13,8,2,0,,http://ufcstats.com/fighter-details/a77633a989013265
4090,Zarrukh,Adashev,The Lion,165.1,125.0,165.1,Southpaw,1992-07-29,4,4,0,,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
4089,Israel,Adesanya,The Last Stylebender,193.04,185.0,203.2,Switch,1989-07-22,24,3,0,,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
4088,Sam,Adkins,The Experience,190.5,225.0,,Orthodox,1965-04-26,7,20,2,,http://ufcstats.com/fighter-details/0e9869d712e81f8f
4087,Nick,Agallar,,172.72,155.0,,Orthodox,1979-01-13,24,6,0,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
4086,Mariya,Agapova,Demonslayer,167.64,125.0,172.72,Southpaw,1997-04-07,10,4,0,,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
4085,Marcelo,Aguiar,,177.8,170.0,,Orthodox,,2,3,1,,http://ufcstats.com/fighter-details/44aa652b181bcf68
4084,Fabio,Aguiar,,182.88,185.0,,,1988-02-10,17,1,0,,http://ufcstats.com/fighter-details/501821d7fb7b95c1
4083,Edwin,Aguilar,Tigre,177.8,185.0,,,,26,19,0,1.0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
4082,Jessica,Aguilar,Jag,160.02,115.0,160.02,Orthodox,1982-05-08,20,8,0,,http://ufcstats.com/fighter-details/8f382b3baa954d2a
4081,Kevin,Aguilar,Angel of Death,170.18,155.0,185.42,Orthodox,1988-09-07,17,5,0,,http://ufcstats.com/fighter-details/cf946e03ba2e7666
4080,Jesus,Aguilar,,162.56,125.0,157.48,Orthodox,1996-03-13,9,2,0,,http://ufcstats.com/fighter-details/c051c2e12d692b8a
4079,Christian,Aguilera,The Beast,175.26,170.0,182.88,Switch,1991-11-25,14,8,0,,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
4078,Nick,Aguirre,Slick,175.26,135.0,187.96,Southpaw,1996-01-15,7,1,0,,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
4077,Mike,Aina,Iron,175.26,155.0,,Orthodox,,14,6,1,1.0,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
4076,Ashiek,Ajim,Peak Physique,172.72,135.0,180.34,Switch,1994-06-19,6,2,0,,http://ufcstats.com/fighter-details/49dea784f6cfed71
4075,Hitomi,Akano,Girlfight Monster,162.56,135.0,,Southpaw,1974-07-27,18,10,0,,http://ufcstats.com/fighter-details/2eada40ac8801559
4074,Omari,Akhmedov,Wolverine,182.88,185.0,185.42,Orthodox,1987-10-12,21,6,1,,http://ufcstats.com/fighter-details/16690d100f995f8f
4073,Yoshihiro,Akiyama,,177.8,170.0,190.5,Orthodox,1975-07-29,14,6,0,2.0,http://ufcstats.com/fighter-details/b0550072e5f0afa7
4072,Rostem,Akman,,177.8,170.0,182.88,Switch,1991-12-19,6,2,0,,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
4071,Razak,Al-Hassan,,187.96,205.0,,Orthodox,1982-05-14,13,5,0,,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
4070,Abdul-Kareem,Al-Selwady,Pride of Palestine,172.72,155.0,175.26,Orthodox,1995-04-10,15,3,0,,http://ufcstats.com/fighter-details/597499ac7a5aac62
4069,Mostapha,Al-Turk,,187.96,245.0,195.58,Orthodox,1973-07-14,6,6,0,,http://ufcstats.com/fighter-details/1cf1310684a841f5
4068,Herdem,Alacabek,,187.96,205.0,190.5,Orthodox,1991-06-07,5,1,0,,http://ufcstats.com/fighter-details/7578cc6bd750206b
