fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_f_name_fighter2,fighter_l_name_fighter2,f_1,f_2,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,num_rounds,finish_round,finish_time,title_fight,weight_class,gender,result,result_details
Mateusz,Gamrot,Rafael,Fiziev,2976.0,2884.0,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00,5,2,2:03,F,Lightweight,M,KO/TKO,"to    
      Leg Injury"
Mateusz,Gamrot,Arman,Tsarukyan,350.0,2884.0,1.0,264.0,110.0,247.0,95.0,8.0,1.0,0.0,0.0,1:39,5,5,5:00,F,Lightweight,M,Decision,Unanimous
Mateusz,Gamrot,Diego,Ferreira,3007.0,2884.0,0.0,104.0,37.0,101.0,36.0,0.0,0.0,0.0,0.0,0:00,3,2,3:26,F,Lightweight,M,KO/TKO,Knee to Body On Ground
Mateusz,Gamrot,Beneil,Dariush,3296.0,2884.0,1.0,138.0,67.0,130.0,59.0,0.0,0.0,0.0,0.0,0:34,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Mateusz,Gamrot,Jeremy,Stephens,542.0,2884.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0:03,3,1,1:05,F,Lightweight,M,Submission,Kimura From Side Control
Mateusz,Gamrot,Scott,Holtzman,2522.0,2884.0,0.0,48.0,10.0,48.0,10.0,1.0,0.0,0.0,0.0,0:00,3,2,1:22,F,Lightweight,M,KO/TKO,Punches to Head On Ground
Ilia,Topuria,Jai,Herbert,2583.0,380.0,1.0,94.0,50.0,63.0,22.0,0.0,0.0,0.0,0.0,0:07,3,2,1:07,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Charles,Rosa,TJ,Brown,3652.0,949.0,0.0,141.0,88.0,99.0,58.0,8.0,6.0,3.0,2.0,7:39,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Matt,Sayles,Jordan,Leavitt,2085.0,799.0,0.0,37.0,22.0,20.0,9.0,6.0,1.0,3.0,0.0,2:48,3,2,2:05,F,Lightweight,M,Submission,Inverted Triangle On Ground
Charles,Jourdain,Desmond,Green,2727.0,2320.0,0.0,152.0,85.0,144.0,78.0,4.0,4.0,0.0,0.0,2:01,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Jorge,Masvidal,Tim,Means,1752.0,1819.0,0.0,161.0,68.0,133.0,43.0,1.0,0.0,0.0,1.0,0:18,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Jorge,Masvidal,Michael,Chiesa,3478.0,1819.0,1.0,66.0,35.0,53.0,24.0,5.0,2.0,0.0,0.0,2:42,3,2,4:59,F,Lightweight,M,Submission,D'Arce Choke On Ground
Jorge,Masvidal,Daron,Cruickshank,3349.0,1819.0,1.0,87.0,23.0,83.0,19.0,3.0,2.0,1.0,0.0,0:24,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Justin,Salas,Tim,Means,1752.0,888.0,2.0,46.0,30.0,42.0,26.0,0.0,0.0,0.0,0.0,0:19,3,1,1:06,F,Lightweight,M,KO/TKO,Punches to Head On Ground
Justin,Salas,Jason,Saggo,900.0,888.0,0.0,56.0,31.0,35.0,20.0,0.0,0.0,0.0,1.0,2:21,3,1,4:31,F,Lightweight,M,KO/TKO,Punches to Head From Back Control
Justin,Salas,Thiago,Tavares,440.0,888.0,0.0,24.0,20.0,11.0,7.0,1.0,1.0,1.0,0.0,1:18,3,1,2:38,F,Lightweight,M,Submission,Rear Naked Choke
Justin,Salas,Aaron,Riley,1038.0,888.0,0.0,172.0,26.0,172.0,26.0,0.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Split
Justin,Salas,Anton,Kuivanen,2158.0,888.0,0.0,117.0,39.0,115.0,38.0,0.0,0.0,0.0,0.0,0:01,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Bernardo,Magalhaes,Tim,Means,1752.0,1919.0,0.0,186.0,98.0,170.0,83.0,0.0,0.0,0.0,0.0,0:59,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Bernardo,Magalhaes,Henry,Martinez,1837.0,1919.0,0.0,146.0,18.0,146.0,18.0,0.0,0.0,0.0,0.0,0:14,3,3,5:00,F,Lightweight,M,Decision,Split
Alex,Oliveira,Gilbert,Burns,3616.0,1398.0,0.0,69.0,37.0,44.0,17.0,5.0,2.0,2.0,0.0,4:01,3,3,4:14,F,Lightweight,M,Submission,Armbar On Ground
Alex,Oliveira,Will,Brooks,3665.0,1398.0,0.0,37.0,29.0,17.0,16.0,8.0,4.0,0.0,0.0,3:45,3,3,3:30,F,Lightweight,M,KO/TKO,Punches to Head From Half Guard
Charlie,Ontiveros,Gabriel,Benitez,3803.0,1380.0,0.0,74.0,47.0,60.0,37.0,2.0,1.0,0.0,0.0,1:24,3,1,3:33,F,Lightweight,M,KO/TKO,Punches to Head From Mount
Charlie,Ontiveros,Steve,Garcia,2871.0,1380.0,0.0,87.0,70.0,49.0,34.0,5.0,3.0,0.0,0.0,5:55,3,2,1:51,F,Lightweight,M,KO/TKO,Punches to Head From Mount
Christos,Giagos,Daniel,Zellhuber,23.0,2846.0,0.0,101.0,36.0,101.0,36.0,0.0,0.0,1.0,0.0,0:17,3,2,3:26,F,Lightweight,M,Submission,Anaconda Choke On Ground
Christos,Giagos,Arman,Tsarukyan,350.0,2846.0,1.0,37.0,27.0,31.0,22.0,1.0,0.0,0.0,0.0,0:11,3,1,2:09,F,Lightweight,M,KO/TKO,Punches to Head On Ground
Christos,Giagos,Charles,Oliveira,1401.0,2846.0,0.0,60.0,28.0,60.0,28.0,4.0,2.0,1.0,0.0,1:21,3,2,3:22,F,Lightweight,M,Submission,Rear Naked Choke
Christos,Giagos,Ricky,Glenn,2817.0,2846.0,0.0,11.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0:00,3,1,1:35,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Christos,Giagos,Gilbert,Burns,3616.0,2846.0,0.0,26.0,18.0,13.0,7.0,1.0,1.0,2.0,0.0,3:36,3,1,4:57,F,Lightweight,M,Submission,Armbar On Ground
Christos,Giagos,Thiago,Moises,1643.0,2846.0,0.0,9.0,7.0,4.0,3.0,2.0,1.0,1.0,0.0,2:34,3,1,3:05,F,Lightweight,M,Submission,Rear Naked Choke
Christos,Giagos,Damir,Hadzovic,2678.0,2846.0,0.0,87.0,42.0,61.0,24.0,1.0,1.0,0.0,0.0,2:04,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Christos,Giagos,Mizuto,Hirota,2544.0,2846.0,0.0,86.0,47.0,55.0,19.0,0.0,0.0,1.0,0.0,1:06,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Christos,Giagos,Chris,Wade,219.0,2846.0,0.0,80.0,55.0,57.0,32.0,7.0,4.0,0.0,2.0,6:28,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Christos,Giagos,Jorge,de Oliveira,3265.0,2846.0,0.0,16.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0:00,3,1,3:12,F,Lightweight,M,Submission,Rear Naked Choke
Kyle,Nelson,Jai,Herbert,2583.0,1495.0,0.0,116.0,84.0,64.0,36.0,1.0,0.0,0.0,0.0,5:57,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Kyle,Nelson,Diego,Ferreira,3007.0,1495.0,0.0,112.0,63.0,102.0,54.0,4.0,2.0,1.0,0.0,3:28,3,2,1:23,F,Lightweight,M,KO/TKO,Punches to Head From Mount
Charlie,Campbell,Alex,Reyes,1064.0,3574.0,0.0,39.0,15.0,38.0,14.0,2.0,0.0,0.0,0.0,0:01,3,1,3:38,F,Lightweight,M,KO/TKO,Punches to Head At Distance
Chepe,Mariscal,Trevor,Peek,1279.0,1865.0,0.0,140.0,65.0,125.0,51.0,0.0,0.0,0.0,1.0,1:23,3,3,5:00,F,Lightweight,M,Decision,Unanimous
John,Makdessi,Jamie,Mullarkey,1573.0,1896.0,0.0,179.0,88.0,179.0,88.0,2.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
John,Makdessi,Francisco,Trinaldo,358.0,1896.0,0.0,126.0,55.0,126.0,55.0,1.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
John,Makdessi,Donald,Cerrone,3499.0,1896.0,0.0,171.0,71.0,171.0,71.0,0.0,0.0,0.0,0.0,0:00,3,2,4:44,F,Lightweight,M,KO/TKO,Kick to Head At Distance
John,Makdessi,Sam,Stout,519.0,1896.0,0.0,369.0,63.0,369.0,63.0,5.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
John,Makdessi,Pat,Audinwood,3911.0,1896.0,0.0,162.0,19.0,162.0,19.0,2.0,1.0,0.0,0.0,0:04,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Muhammad,Naimov,Jamie,Mullarkey,1573.0,1536.0,0.0,73.0,40.0,71.0,39.0,8.0,3.0,0.0,0.0,2:28,3,2,2:59,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Francisco,Prado,Jamie,Mullarkey,1573.0,1171.0,0.0,126.0,78.0,104.0,59.0,4.0,3.0,0.0,0.0,4:47,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Francisco,Prado,Ottman,Azaitar,3898.0,1171.0,0.0,36.0,16.0,33.0,14.0,0.0,0.0,0.0,0.0,0:00,3,1,4:05,F,Lightweight,M,KO/TKO,Punches to Head From Guard
Khama,Worthy,Jamie,Mullarkey,1573.0,95.0,1.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,0.0,0:04,3,1,0:46,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Khama,Worthy,Ottman,Azaitar,3898.0,95.0,0.0,22.0,16.0,22.0,16.0,0.0,0.0,0.0,0.0,0:06,3,1,1:33,F,Lightweight,M,KO/TKO,Punches to Head At Distance
Khama,Worthy,Devonte,Smith,628.0,95.0,0.0,27.0,15.0,27.0,15.0,0.0,0.0,0.0,0.0,0:00,3,1,4:15,F,Lightweight,M,KO/TKO,Punch to Head At Distance
Khama,Worthy,Luis,Pena,1273.0,95.0,0.0,79.0,40.0,77.0,38.0,7.0,3.0,3.0,0.0,4:13,3,3,2:53,F,Lightweight,M,Submission,Guillotine Choke In Clinch
Fares,Ziam,Jamie,Mullarkey,1573.0,11.0,0.0,84.0,29.0,72.0,20.0,11.0,5.0,0.0,0.0,6:56,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Fares,Ziam,Terrance,McKinney,1760.0,11.0,0.0,16.0,13.0,4.0,3.0,0.0,0.0,1.0,0.0,2:03,3,1,2:11,F,Lightweight,M,Submission,Rear Naked Choke
Fares,Ziam,Jai,Herbert,2583.0,11.0,0.0,150.0,58.0,134.0,49.0,6.0,0.0,0.0,0.0,4:12,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Fares,Ziam,Don,Madge,1929.0,11.0,0.0,111.0,72.0,49.0,21.0,12.0,3.0,0.0,0.0,9:37,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Landon,Quinones,Nasrat,Haqparast,2650.0,1132.0,0.0,378.0,172.0,377.0,171.0,5.0,0.0,0.0,0.0,0:21,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Rafa,Garcia,Nasrat,Haqparast,2650.0,2869.0,0.0,218.0,99.0,217.0,99.0,2.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Rafa,Garcia,Clay,Guida,2702.0,2869.0,0.0,252.0,63.0,252.0,63.0,3.0,0.0,0.0,0.0,0:00,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Rafa,Garcia,Drakkar,Klose,2201.0,2869.0,0.0,175.0,111.0,115.0,61.0,10.0,2.0,0.0,0.0,2:05,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Rafa,Garcia,Chris,Gruetzemacher,2710.0,2869.0,0.0,268.0,176.0,190.0,100.0,1.0,0.0,0.0,0.0,0:03,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alexander,Munoz,Nasrat,Haqparast,2650.0,1568.0,0.0,219.0,108.0,215.0,104.0,0.0,0.0,0.0,0.0,0:02,3,3,5:00,F,Lightweight,M,Decision,Unanimous
Alexander,Munoz,Luis,Pena,1273.0,1568.0,0.0,195.0,90.0,195.0,90.0,0.0,0.0,0.0,0.0,0:03,3,3,5:00,F,Lightweight,M,Decision,Split
